Domain,Title,arXiv_ID,Status
CS,Attention Is All You Need,1706.03762,VERIFIED
CS,Adam: A Method for Stochastic Optimization,1412.6980,VERIFIED
CS,Deep Residual Learning for Image Recognition,1512.03385,VERIFIED
CS,Generative Adversarial Networks,1406.2661,TITLE_MISMATCH
CS,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,1810.04805,VERIFIED
CS,Playing Atari with Deep Reinforcement Learning,1312.5602,VERIFIED
CS,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,1712.01815,TITLE_MISMATCH
CS,Language Models are Few-Shot Learners,2005.14165,VERIFIED
CS,Improving neural networks by preventing co-adaptation of feature detectors,1207.0580,TITLE_MISMATCH
CS,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,1502.03167,VERIFIED
CS,Auto-Encoding Variational Bayes,1312.6114,VERIFIED
CS,Show and Tell: A Neural Image Caption Generator,1411.4555,VERIFIED
CS,Sequence to Sequence Learning with Neural Networks,1409.3215,VERIFIED
CS,Neural Machine Translation by Jointly Learning to Align and Translate,1409.0473,VERIFIED
CS,Efficient Estimation of Word Representations in Vector Space,1301.3781,VERIFIED
CS,Distributed Representations of Words and Phrases and their Compositionality,1310.4546,VERIFIED
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,1409.1556,VERIFIED
CS,Going Deeper with Convolutions,1409.4842,VERIFIED
CS,U-Net: Convolutional Networks for Biomedical Image Segmentation,1505.04597,VERIFIED
CS,Mask R-CNN,1703.06870,VERIFIED
CS,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,1506.01497,VERIFIED
CS,"You Only Look Once: Unified, Real-Time Object Detection",1506.02640,VERIFIED
CS,SSD: Single Shot MultiBox Detector,1512.02325,VERIFIED
CS,XGBoost: A Scalable Tree Boosting System,1603.02754,VERIFIED
CS,Semi-Supervised Classification with Graph Convolutional Networks,1609.02907,VERIFIED
CS,Graph Attention Networks,1710.10903,VERIFIED
CS,Inductive Representation Learning on Large Graphs,1706.02216,VERIFIED
CS,Semi-Supervised Classification with Graph Convolutional Networks,1609.02907,VERIFIED
CS,Deep Reinforcement Learning with Double Q-learning,1509.06461,VERIFIED
CS,Continuous control with deep reinforcement learning,1509.02971,VERIFIED
CS,Asynchronous Methods for Deep Reinforcement Learning,1602.01783,VERIFIED
CS,Proximal Policy Optimization Algorithms,1707.06347,VERIFIED
CS,Neural Turing Machines,1410.5401,VERIFIED
CS,Memory Networks,1410.3916,VERIFIED
CS,End-To-End Memory Networks,1503.08895,VERIFIED
CS,Pointer Networks,1506.03134,VERIFIED
CS,A Neural Conversational Model,1506.05869,VERIFIED
CS,GloVe: Global Vectors for Word Representation,UNKNOWN,NO_ID
CS,Deep contextualized word representations,1802.05365,VERIFIED
CS,RoBERTa: A Robustly Optimized BERT Pretraining Approach,1907.11692,VERIFIED
CS,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,1909.11942,VERIFIED
CS,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,1910.10683,VERIFIED
CS,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",1910.01108,VERIFIED
CS,Semantic Image Synthesis with Spatially-Adaptive Normalization,1903.07291,VERIFIED
CS,A Style-Based Generator Architecture for Generative Adversarial Networks,1812.04948,VERIFIED
CS,Analyzing and Improving the Image Quality of StyleGAN,1912.04958,VERIFIED
CS,Continuous control with deep reinforcement learning,1509.02971,VERIFIED
CS,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,1801.01290,VERIFIED
CS,Playing Atari with Deep Reinforcement Learning,1312.5602,VERIFIED
CS,Wasserstein GAN,1701.07875,VERIFIED
CS,Improved Training of Wasserstein GANs,1704.00028,VERIFIED
CS,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,1703.10593,VERIFIED
CS,Image-to-Image Translation with Conditional Adversarial Networks,1611.07004,VERIFIED
CS,AlexNet: ImageNet Classification with Deep Convolutional Neural Networks,UNKNOWN,NO_ID
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,1409.1556,VERIFIED
CS,Going Deeper with Convolutions,1409.4842,VERIFIED
CS,Aggregated Residual Transformations for Deep Neural Networks,1611.05431,VERIFIED
CS,Densely Connected Convolutional Networks,1608.06993,VERIFIED
CS,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,1704.04861,VERIFIED
CS,MobileNetV2: Inverted Residuals and Linear Bottlenecks,1801.04381,VERIFIED
CS,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,1905.11946,VERIFIED
CS,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,1602.07360,VERIFIED
CS,Neural Architecture Search with Reinforcement Learning,1611.01578,VERIFIED
CS,DARTS: Differentiable Architecture Search,1806.09055,VERIFIED
CS,Efficient Neural Architecture Search via Parameter Sharing,1802.03268,VERIFIED
CS,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,1703.03400,VERIFIED
CS,Prototypical Networks for Few-shot Learning,1703.05175,VERIFIED
CS,Matching Networks for One Shot Learning,1606.04080,VERIFIED
CS,On First-Order Meta-Learning Algorithms,1803.02999,VERIFIED
CS,On the $\infty$-categorical Whitehead theorem and the embedding of quasicategories in prederivators,1612.06980,TITLE_MISMATCH
CS,Siamese Neural Networks for One-shot Image Recognition,UNKNOWN,NO_ID
CS,Communication-Efficient Learning of Deep Networks from Decentralized Data,1602.05629,VERIFIED
CS,Advances and Open Problems in Federated Learning,1912.04977,VERIFIED
CS,Differentially Private Stochastic Gradient Descent,UNKNOWN,NO_ID
CS,Deep Learning with Differential Privacy,1607.00133,VERIFIED
CS,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,1610.05755,VERIFIED
CS,Adversarial examples in the physical world,1607.02533,VERIFIED
CS,Explaining and Harnessing Adversarial Examples,1412.6572,VERIFIED
CS,Towards Evaluating the Robustness of Neural Networks,1608.04644,VERIFIED
CS,DeepFool: a simple and accurate method to fool deep neural networks,1511.04599,VERIFIED
CS,Universal adversarial perturbations,1610.08401,VERIFIED
CS,Certifying Some Distributional Robustness with Principled Adversarial Training,1710.10571,VERIFIED
CS,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",1602.04938,VERIFIED
CS,A Unified Approach to Interpreting Model Predictions,1705.07874,VERIFIED
CS,Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization,1610.02391,VERIFIED
CS,Axiomatic Attribution for Deep Networks,1703.01365,VERIFIED
